Condiciones_20_del_20_hogar_Sexo,Condiciones_20_del_20_hogar_Zona,Condiciones_20_del_20_hogar_Departamento,Condiciones_20_del_20_hogar_Etario,Condiciones_20_del_20_hogar_No_carente,Condiciones_20_del_20_hogar_Valor,Condiciones_20_del_20_hogar_Total,Condiciones_20_del_20_hogar_Proporción,Condiciones_20_del_20_hogar_Variable,Condiciones_20_del_20_hogar_ID,Condiciones_20_del_20_hogar_Nombre_dpto
Mujer,Urbano,52,Mayor,353251.1,27122.27,380373.4,0.0713043288515969,Sin paredes duraderas,6740,Nariño
Mujer,Urbano,52,Mayor,377483.6,2889.778,380373.4,0.00759721368528924,Sin pisos duraderos,6206,Nariño
Mujer,Urbano,52,Mayor,380373.4,0,380373.4,0,Sin electricidad,5672,Nariño
Mujer,Urbano,52,Menor,47403.26,95435.34,142838.6,0.668134103806674,Sin internet,4068,Nariño
Mujer,Urbano,52,Menor,102292.2,40546.44,142838.6,0.283861925277901,Hacinamiento,896,Nariño
Mujer,Urbano,52,Menor,133603.8,9234.796,142838.6,0.0646519638249045,Sin paredes duraderas,6738,Nariño
Mujer,Urbano,52,Menor,141986.2,852.3844,142838.6,0.00596746537700594,Sin pisos duraderos,6204,Nariño
Mujer,Urbano,52,Menor,142838.6,0,142838.6,0,Sin electricidad,5670,Nariño
Mujer,Urbano,54,Mayor,167844.1,232052.9,399897,0.580281672530677,Sin internet,4076,Norte de Santander
Mujer,Urbano,54,Mayor,311861.2,88035.82,399897,0.220146237656196,Hacinamiento,904,Norte de Santander
Mujer,Urbano,54,Mayor,379329.98,20567.01,399897,0.0514307684228689,Sin paredes duraderas,6746,Norte de Santander
Mujer,Urbano,54,Mayor,394291.4,5605.632,399897,0.0140176895550604,Sin pisos duraderos,6212,Norte de Santander
Mujer,Urbano,54,Mayor,399463.7,433.26498,399897,0.00108344143616981,Sin electricidad,5678,Norte de Santander
Mujer,Urbano,54,Menor,57262.85,95443.09,152705.9,0.625012458588699,Sin internet,4073,Norte de Santander
Mujer,Urbano,54,Menor,95792.86,56913.08,152705.9,0.372697322107397,Hacinamiento,901,Norte de Santander
Mujer,Urbano,54,Menor,144183.7,8522.198,152705.9,0.0558079157386846,Sin paredes duraderas,6743,Norte de Santander
Mujer,Urbano,54,Menor,149759.9,2946.009,152705.9,0.0192920443807345,Sin pisos duraderos,6209,Norte de Santander
Mujer,Urbano,54,Menor,152453.6,252.365757,152705.9,0.00165262610678435,Sin electricidad,5675,Norte de Santander
Mujer,Urbano,63,Mayor,132348.5,116060.22,248408.7,0.467214795617062,Sin internet,4082,Quindio
Mujer,Urbano,63,Mayor,213357.2,35051.438,248408.7,0.141103906586203,Hacinamiento,910,Quindio
Mujer,Urbano,63,Mayor,233276.2,15132.51,248408.7,0.0609177939419996,Sin paredes duraderas,6752,Quindio
Mujer,Urbano,63,Mayor,247090.7,1317.972,248408.7,0.00530565958438654,Sin pisos duraderos,6218,Quindio
Mujer,Urbano,63,Mayor,248201.9,206.76672,248408.7,0.000832365050016364,Sin electricidad,5684,Quindio
Mujer,Urbano,63,Menor,43476.458,50052.982,93529.44,0.535157507625406,Sin internet,4079,Quindio
Mujer,Urbano,63,Menor,68338.66,25190.78,93529.44,0.269335302339028,Hacinamiento,907,Quindio
Mujer,Urbano,63,Menor,86190.56,7338.88,93529.44,0.0784659888907707,Sin paredes duraderas,6749,Quindio
Mujer,Urbano,63,Menor,92939.21,590.23165,93529.44,0.00631065095653304,Sin pisos duraderos,6215,Quindio
Mujer,Urbano,63,Menor,93354.76,174.68016,93529.44,0.00186764894561541,Sin electricidad,5681,Quindio
Mujer,Urbano,66,Mayor,189697.88,129895.2,319593.1,0.406439312988923,Sin internet,4087,Risaralda
Mujer,Urbano,66,Mayor,293729.1,25864,319593.1,0.0809279048890605,Hacinamiento,915,Risaralda
Mujer,Urbano,66,Mayor,315343.6,4249.521,319593.1,0.0132966606600706,Sin paredes duraderas,6757,Risaralda
Mujer,Urbano,66,Mayor,319421.1,172.00499,319593.1,0.00053819994862217,Sin pisos duraderos,6223,Risaralda
Mujer,Urbano,66,Mayor,319562,31.116165,319593.1,9.73618172607606E-05,Sin electricidad,5689,Risaralda
Mujer,Urbano,66,Menor,55573.36,46687.38,102260.7,0.456552517242694,Sin internet,4085,Risaralda
Mujer,Urbano,66,Menor,83458.51,18802.24,102260.7,0.183865747056298,Hacinamiento,913,Risaralda
Mujer,Urbano,66,Menor,100521.4,1739.299,102260.7,0.0170084793082778,Sin paredes duraderas,6755,Risaralda
Mujer,Urbano,66,Menor,102061.5,199.29075,102260.7,0.00194884985140919,Sin pisos duraderos,6221,Risaralda
Mujer,Urbano,66,Menor,102229.6,31.116165,102260.7,0.000304282730315752,Sin electricidad,5687,Risaralda
Mujer,Urbano,68,Mayor,392709.4,262243.6,654953.1,0.40040057830095,Sin internet,4093,Santander
Mujer,Urbano,68,Mayor,565666.1,89286.95,654953.1,0.136325715535967,Hacinamiento,921,Santander
Mujer,Urbano,68,Mayor,630236.5,24716.558,654953.1,0.0377379052026779,Sin paredes duraderas,6763,Santander
Mujer,Urbano,68,Mayor,651923.6,3029.447,654953.1,0.00462544111937175,Sin pisos duraderos,6229,Santander
Mujer,Urbano,68,Mayor,654718.5,234.639473,654953.1,0.000358253855123367,Sin electricidad,5695,Santander
Mujer,Urbano,68,Menor,122776.8,98241.17,221018,0.444493977866056,Sin internet,4090,Santander
Mujer,Urbano,68,Menor,161206.3,59811.72,221018,0.270619225583437,Hacinamiento,918,Santander
Mujer,Urbano,68,Menor,213991.5,7026.528,221018,0.0317916549783276,Sin paredes duraderas,6760,Santander
Mujer,Urbano,68,Menor,218081.1,2936.935,221018,0.0132882163443701,Sin pisos duraderos,6226,Santander
Mujer,Urbano,68,Menor,221018,0,221018,0,Sin electricidad,5692,Santander
Mujer,Urbano,70,Mayor,73501.28,128246.8,201748.1,0.635677857684905,Sin internet,4099,Sucre
Mujer,Urbano,70,Mayor,138524.7,63223.42,201748.1,0.313378019421249,Hacinamiento,927,Sucre
Mujer,Urbano,70,Mayor,180325.4,21422.71,201748.1,0.106185436194938,Sin pisos duraderos,6235,Sucre
Mujer,Urbano,70,Mayor,189101.5,12646.59,201748.1,0.0626850513090334,Sin paredes duraderas,6769,Sucre
Mujer,Urbano,70,Mayor,201676.1,72.039799,201748.1,0.000357077955133159,Sin electricidad,5701,Sucre
