Hoja1_Sexo,Hoja1_Zona,Hoja1_Departamento,Hoja1_Etario,Hoja1_Grupo,Hoja1_No_carente,Hoja1_Valor,Hoja1_Total,Hoja1_Sector,Hoja1_Proporción,Hoja1_Variable,Hoja1_ID,Hoja1_Nombre_dpto
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,Multisector,0,Sin electricidad,5458,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,Multisector,0,Sin paredes duraderas,6526,Atlántico
Hombre,Rural,8,Menor,Retornada,508.48901,0,508.48901,Multisector,0,Sin pisos duraderos,5992,Atlántico
Hombre,Rural,8,Menor,Venezolana,0,5903.104,5903.104,Multisector,1,Sin trabajo,3857,Atlántico
Hombre,Rural,8,Menor,Venezolana,1925.742,3977.362,5903.104,Multisector,0.673774678542001,Hacinamiento,685,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,Multisector,0,Sin electricidad,5459,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,Multisector,0,Sin paredes duraderas,6527,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903.104,0,5903.104,Multisector,0,Sin pisos duraderos,5993,Atlántico
Hombre,Rural,11,Mayor,Colombiana,513.50148,69.976486,583.47797,Multisector,0.119929953824992,Sin trabajo,3862,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,Multisector,0,Hacinamiento,690,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,Multisector,0,Sin electricidad,5464,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,Multisector,0,Sin paredes duraderas,6532,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583.47797,0,583.47797,Multisector,0,Sin pisos duraderos,5998,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,139.95297,139.95297,Multisector,1,Sin trabajo,3861,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,Multisector,0,Hacinamiento,689,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,Multisector,0,Sin electricidad,5463,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,Multisector,0,Sin paredes duraderas,6531,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,Multisector,0,Sin pisos duraderos,5997,"Bogotá, D.C."
Hombre,Rural,13,Mayor,Colombiana,4829.291,169098,173927.3,Multisector,0.972233801134152,Sin trabajo,3866,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104157.3,69770.03,173927.3,Multisector,0.40114478865595,Sin pisos duraderos,6002,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104291.81,69635.52,173927.3,Multisector,0.400371419552882,Hacinamiento,694,Bolívar
Hombre,Rural,13,Mayor,Colombiana,137796.3,36130.99,173927.3,Multisector,0.207736163328011,Sin electricidad,5468,Bolívar
Hombre,Rural,13,Mayor,Colombiana,145145.4,28781.89,173927.3,Multisector,0.165482302088286,Sin paredes duraderas,6536,Bolívar
Hombre,Rural,13,Mayor,Retornada,142.84752,4976.239,5119.087,Multisector,0.972095023975955,Sin trabajo,3867,Bolívar
Hombre,Rural,13,Mayor,Retornada,2780.418,2338.669,5119.087,Multisector,0.456852755188572,Hacinamiento,695,Bolívar
Hombre,Rural,13,Mayor,Retornada,3811.8026,1307.284,5119.087,Multisector,0.255374444700784,Sin pisos duraderos,6003,Bolívar
Hombre,Rural,13,Mayor,Retornada,3923.582,1195.505,5119.087,Multisector,0.233538715009141,Sin electricidad,5469,Bolívar
Hombre,Rural,13,Mayor,Retornada,4936.867,182.21933,5119.087,Multisector,0.0355960603912377,Sin paredes duraderas,6537,Bolívar
Hombre,Rural,13,Mayor,Venezolana,142.84752,2967.502,3110.349,Multisector,0.954073642539792,Sin trabajo,3868,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1903.756,1206.593,3110.349,Multisector,0.387928492911889,Hacinamiento,696,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2122.227,988.12264,3110.349,Multisector,0.317688670949787,Sin pisos duraderos,6004,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2724.909,385.440361,3110.349,Multisector,0.123921901047117,Sin electricidad,5470,Bolívar
