DesMinDB_DataProyectoMineria_Sexo,DesMinDB_DataProyectoMineria_Zona,DesMinDB_DataProyectoMineria_Departamento,DesMinDB_DataProyectoMineria_Etario,DesMinDB_DataProyectoMineria_Grupo,DesMinDB_DataProyectoMineria_No_carente,DesMinDB_DataProyectoMineria_Valor,DesMinDB_DataProyectoMineria_Total,DesMinDB_DataProyectoMineria_Proporción,DesMinDB_DataProyectoMineria_Variable,DesMinDB_DataProyectoMineria_ID,DesMinDB_DataProyectoMineria_Nombre_dpto
Hombre,Rural,5,Menor,Colombiana,2144968,53584787,2680816,199882375366306,Sin espacio exclusivo para la cocina,3317,Antioquia
Hombre,Rural,5,Menor,Colombiana,2493468,187348175,2680816,698847571038072,Sin combustible adecuado para cocinar,145,Antioquia
Hombre,Rural,5,Menor,Colombiana,2680816,0,2680816,0,Sin electricidad,5453,Antioquia
Hombre,Rural,5,Menor,Colombiana,2680816,0,2680816,0,Sin paredes duraderas,6521,Antioquia
Hombre,Rural,5,Menor,Colombiana,2680816,0,2680816,0,Sin pisos duraderos,5987,Antioquia
Hombre,Rural,5,Menor,Colombiana,11155955,0,11155955,0,Sin suministro continuo de agua,2281,Antioquia
Hombre,Rural,5,Menor,Colombiana,11155955,1565221,2680816,583859914294752,Sin acueducto,1747,Antioquia
Hombre,Rural,5,Menor,Colombiana,11155955,1565221,2680816,583859914294752,Sin alcantarillado,2783,Antioquia
Hombre,Rural,5,Menor,Colombiana,11155955,1565221,2680816,583859914294752,Sin recogida de basuras,1213,Antioquia
Hombre,Rural,5,Menor,Colombiana,58574837,2095068,2680816,781503840621662,Hacinamiento,679,Antioquia
Hombre,Rural,5,Menor,Colombiana,71719531,1963621,2680816,732471381847915,Sin fuente de ingresos,3851,Antioquia
Hombre,Rural,5,Menor,Venezolana,118112,9023083,20834279,43308832525474,Sin sanitario,4918,Antioquia
Hombre,Rural,5,Menor,Venezolana,169486,3885677,20834279,186504030209061,Sin refrigerador,4384,Antioquia
Hombre,Rural,5,Menor,Venezolana,1044363,1039065,20834279,498728561713127,Sin acueducto,1746,Antioquia
Hombre,Rural,5,Menor,Venezolana,1084495,998933,20834279,479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,Venezolana,1388519,694909,20834279,333541179898762,Sin combustible adecuado para cocinar,144,Antioquia
Hombre,Rural,5,Menor,Venezolana,1761452,3219762,20834279,154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,Venezolana,1881629,2017986,20834279,968589313793868,Sin espacio exclusivo para la cocina,3316,Antioquia
Hombre,Rural,5,Menor,Venezolana,2002723,8070455,20834279,387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,Venezolana,2020568,96031953,21166,453708556174998,Sin empleo,7040,Antioquia
Hombre,Rural,5,Menor,Venezolana,2027484,1880679,20834279,902684945324962,Sin fuente de ingresos,3850,Antioquia
Hombre,Rural,5,Menor,Venezolana,2063816,1961227,20834279,941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,5,Menor,Venezolana,3646501,1718778,20834279,82497599268974,Sin alcantarillado,2782,Antioquia
Hombre,Rural,5,Menor,Venezolana,7664387,2779239,1044363,266118102613746,Sin suministro continuo de agua,2280,Antioquia
Hombre,Rural,5,Menor,Venezolana,9428576,114057,20834279,547448750206331,Sin recogida de basuras,1212,Antioquia
Hombre,Rural,8,Mayor,Colombiana,0,7172271,7172271,1,Sin fuente de ingresos,3860,Atlántico
Hombre,Rural,8,Mayor,Colombiana,137616,5796111,7172271,808127718542704,Sin alcantarillado,2792,Atlántico
Hombre,Rural,8,Mayor,Colombiana,585132,13209505,7172271,184174649842428,Sin acueducto,1756,Atlántico
Hombre,Rural,8,Mayor,Colombiana,2755345,4416926,7172271,615833673880979,Sin refrigerador,4394,Atlántico
Hombre,Rural,8,Mayor,Colombiana,2767075,3084245,585132,527102431588086,Sin suministro continuo de agua,2289,Atlántico
Hombre,Rural,8,Mayor,Colombiana,3048627,4123644,7172271,57494258094821,Sin espacio exclusivo para la cocina,3326,Atlántico
Hombre,Rural,8,Mayor,Colombiana,3749912,3422359,7172271,477165321834604,Hacinamiento,688,Atlántico
Hombre,Rural,8,Mayor,Colombiana,4680917,2491354,7172271,347359155837809,Sin recogida de basuras,1222,Atlántico
Hombre,Rural,8,Mayor,Colombiana,5307401,186487,7172271,260011089932324,Sin combustible adecuado para cocinar,154,Atlántico
Hombre,Rural,8,Mayor,Colombiana,5798376,1373895,7172271,191556481900921,Sin sanitario,4928,Atlántico
Hombre,Rural,8,Mayor,Colombiana,6789503,0,6789503,0,Sin empleo,7047,Atlántico
Hombre,Rural,8,Mayor,Colombiana,6900144,27212708,7172271,379415501728811,Sin electricidad,5462,Atlántico
Hombre,Rural,8,Mayor,Colombiana,6949406,22286447,7172271,310730687672008,Sin pisos duraderos,5996,Atlántico
Hombre,Rural,8,Mayor,Colombiana,7172271,0,7172271,0,Sin paredes duraderas,6530,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875075,4875075,1,Sin alcantarillado,2791,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875075,4875075,1,Sin fuente de ingresos,3859,Atlántico
Hombre,Rural,8,Mayor,Retornada,1069342,1653155,2722497,607220136514384,Sin suministro continuo de agua,2288,Atlántico
Hombre,Rural,8,Mayor,Retornada,1216063,3659012,4875075,750555017102301,Sin recogida de basuras,1221,Atlántico
Hombre,Rural,8,Mayor,Retornada,1620294,3254781,4875075,66763711327518,Sin espacio exclusivo para la cocina,3325,Atlántico
Hombre,Rural,8,Mayor,Retornada,2257811,2617263,4875075,53686620205843,Hacinamiento,687,Atlántico
Hombre,Rural,8,Mayor,Retornada,2568704,23063703,4875075,473094321625821,Sin refrigerador,4393,Atlántico
Hombre,Rural,8,Mayor,Retornada,2722497,21525778,4875075,441547627472398,Sin acueducto,1755,Atlántico
Hombre,Rural,8,Mayor,Retornada,2747594,21274805,4875075,43639954257114,Sin combustible adecuado para cocinar,153,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465473,40960156,4875075,840195402122019,Sin paredes duraderas,6529,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465473,40960156,4875075,840195402122019,Sin pisos duraderos,5995,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465473,40960156,4875075,840195402122019,Sin sanitario,4927,Atlántico
Hombre,Rural,8,Mayor,Retornada,4670274,0,4670274,0,Sin empleo,7046,Atlántico
Hombre,Rural,8,Mayor,Retornada,4875075,0,4875075,0,Sin electricidad,5461,Atlántico
Hombre,Rural,8,Mayor,Venezolana,737315,303416,7676566,395249646782168,Sin empleo,7045,Atlántico
Hombre,Rural,8,Mayor,Venezolana,859516,4491273,8640072,519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Mayor,Venezolana,1407553,8499317,8640072,983709047794972,Sin alcantarillado,2790,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2418226,4401172,6819397,645390200922457,Sin suministro continuo de agua,2287,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5304302,333577,8640072,386081273396796,Sin espacio exclusivo para la cocina,3324,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5348954,3291118,8640072,380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5508601,3131471,8640072,362435752850208,Sin recogida de basuras,1220,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6240418,2399655,8640072,277735532759449,Sin combustible adecuado para cocinar,152,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6819397,1820675,8640072,210724517110506,Sin acueducto,1754,Atlántico
Hombre,Rural,8,Mayor,Venezolana,7938746,7013268,8640072,811714069049425,Sin sanitario,4926,Atlántico
Hombre,Rural,8,Mayor,Venezolana,8487177,1528954,8640072,176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,Venezolana,53177513,8108297,8640072,938452480488589,Sin fuente de ingresos,3858,Atlántico
Hombre,Rural,8,Mayor,Venezolana,69880934,1651979,8640072,191199679817483,Sin refrigerador,4392,Atlántico
Hombre,Rural,8,Mayor,Venezolana,84334382,2066343,8640072,239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Menor,Colombiana,0,5903104,5903104,1,Sin fuente de ingresos,3857,Atlántico
Hombre,Rural,8,Menor,Colombiana,1925742,3977362,5903104,673774678542001,Hacinamiento,685,Atlántico
Hombre,Rural,8,Menor,Colombiana,2879751,2617202,5496953,476118678838986,Sin suministro continuo de agua,2286,Atlántico
Hombre,Rural,8,Menor,Colombiana,3275157,2627947,5903104,445180535528427,Sin refrigerador,4391,Atlántico
Hombre,Rural,8,Menor,Colombiana,3327891,2575214,5903104,436247438635674,Sin recogida de basuras,1219,Atlántico
Hombre,Rural,8,Menor,Colombiana,3469772,2433332,5903104,412212286959539,Sin espacio exclusivo para la cocina,3323,Atlántico
Hombre,Rural,8,Menor,Colombiana,5003223,89988095,5903104,152441994923349,Sin combustible adecuado para cocinar,151,Atlántico
Hombre,Rural,8,Menor,Colombiana,5496953,40615103,5903104,688029602731038,Sin acueducto,1753,Atlántico
Hombre,Rural,8,Menor,Colombiana,5903104,0,5903104,0,Sin electricidad,5459,Atlántico
Hombre,Rural,8,Menor,Colombiana,5903104,0,5903104,0,Sin paredes duraderas,6527,Atlántico
Hombre,Rural,8,Menor,Colombiana,5903104,0,5903104,0,Sin pisos duraderos,5993,Atlántico
Hombre,Rural,8,Menor,Colombiana,5903104,0,5903104,0,Sin sanitario,4925,Atlántico
Hombre,Rural,8,Menor,Colombiana,688079895,5215024,5903104,883437594865345,Sin alcantarillado,2789,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin acueducto,1752,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin alcantarillado,2788,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin combustible adecuado para cocinar,150,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin espacio exclusivo para la cocina,3322,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin fuente de ingresos,3856,Atlántico
Hombre,Rural,8,Menor,Retornada,0,50848901,50848901,1,Sin recogida de basuras,1218,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Hacinamiento,684,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Sin electricidad,5458,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Sin paredes duraderas,6526,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Sin pisos duraderos,5992,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Sin refrigerador,4390,Atlántico
Hombre,Rural,8,Menor,Retornada,50848901,0,50848901,0,Sin sanitario,4924,Atlántico
Hombre,Rural,8,Menor,Venezolana,0,4616249,4616249,1,Sin alcantarillado,2787,Atlántico
Hombre,Rural,8,Menor,Venezolana,1261109,27351453,3996254,68442729115817,Sin suministro continuo de agua,2285,Atlántico
Hombre,Rural,8,Menor,Venezolana,1570807,44591688,4616249,965972329482227,Sin fuente de ingresos,3855,Atlántico
Hombre,Rural,8,Menor,Venezolana,2009516,2606734,4616249,564686610276006,Hacinamiento,683,Atlántico
Hombre,Rural,8,Menor,Venezolana,2793121,1823129,4616249,394937318155931,Sin espacio exclusivo para la cocina,3321,Atlántico
Hombre,Rural,8,Menor,Venezolana,3145647,1470603,4616249,318570986963658,Sin recogida de basuras,1217,Atlántico
Hombre,Rural,8,Menor,Venezolana,3317992,1298258,4616249,28123656241247,Sin combustible adecuado para cocinar,149,Atlántico
Hombre,Rural,8,Menor,Venezolana,3729894,8863557,4616249,192007775143845,Sin refrigerador,4389,Atlántico
Hombre,Rural,8,Menor,Venezolana,3996254,6199956,4616249,134307226494931,Sin acueducto,1751,Atlántico
Hombre,Rural,8,Menor,Venezolana,4063851,552399,4616249,119664038919911,Sin sanitario,4923,Atlántico
Hombre,Rural,8,Menor,Venezolana,4451715,1645342,4616249,356424014389172,Sin electricidad,5457,Atlántico
Hombre,Rural,8,Menor,Venezolana,4592946,233034668,4616249,50481390410266,Sin paredes duraderas,6525,Atlántico
Hombre,Rural,8,Menor,Venezolana,40615877,0,40615877,0,Sin empleo,7044,Atlántico
Hombre,Rural,8,Menor,Venezolana,45973099,189395752,4616249,410280623943812,Sin pisos duraderos,5991,Atlántico
Hombre,Rural,11,Mayor,Venezolana,0,58347797,58347797,1,Sin acueducto,1758,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,0,58347797,58347797,1,Sin alcantarillado,2794,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,36171547,2217625,58347797,380070047888869,Sin empleo,7049,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,51350148,69976486,58347797,119929953824992,Sin fuente de ingresos,3862,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,51350148,69976486,58347797,119929953824992,Sin refrigerador,4396,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Hacinamiento,690,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin combustible adecuado para cocinar,156,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin electricidad,5464,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin espacio exclusivo para la cocina,3328,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin paredes duraderas,6532,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin pisos duraderos,5998,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin recogida de basuras,1224,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Venezolana,58347797,0,58347797,0,Sin sanitario,4930,"Bogotá, D.C."
